aabikasa,abikaasa
aabikasaga,abikaasaga
aaddresil,aadressil
aadres,aadress
aadresil,aadressil
aadressadil,adressaadil
ääremade,ääremaade
ääremadel,ääremaadel
äärimees,ärimees
aasatal,aastal
abivalmised,abivalmis
abivalmsad,abivalmis
aderssil,aadressil
adressil,aadressil
äelda,öelda
aesmisel,eelmisel
aidat,aitad
aitage,aidake
aitah,aitäh
aitähh,aitäh
ajaased,asjad
ajakirjakuna,ajakirjanikuna
ajakirje,ajakirju
ajakirjud,ajakirjad
ajakirjutega,ajakirjadega
ajakirjutele,ajakirjadele
ajalehedel,ajalehtedel
ajalt-ajani,aeg-ajalt
aktuuaalne,aktuaalne
alganud,alanud
alkohool,alkohol
alkohoolijoobes,alkoholijoobes
alkohoolijoovet,alkoholijoovet
allaealistele,alaealistele
alleergia,allergia
allikaseid,allikaid
ametnikute,ametnike
anan,annan
ananasiga,ananassiga
andate,annate
anetust,annetust
ange,andke
annama,andma
antiikesemad,antiikesemed
antnud,antud
äppis,äpis
apriilis,aprillis
aredamiseks,arendamiseks
areena,areen
äremaades,ääremaades
arengutamesel,arengutasemel
arenumaks,arenenumaks
äres,ääres
arhitekturist,arhitektuurist
armasame,armastame
artikled,artiklid
artikles,artiklis
aruannega,aruandega
arusaadev,arusaadav
arvatatakse,arvatakse
asfaalt,asfalt
asile,asjale
asjandlikult,asjatundlikult
astat,aastat
asuse,asutuse
atraakiviselt,atraktiivselt
autojuh,autojuht
autojuhidest,autojuhtidest
automat,automaat
autsalt,ausalt
avatamiseks,avastamiseks
avatan,avan
baleti,balleti
balett,ballett
balettist,balletist
band,bänd
bandist,bändist
bensin,bensiin
blogiat,blogijad
bohemlaased,boheemlased
boršš,borš
botanikaaed,botaanikaaed
broonerida,broneerida
budjeti,büdžeti
büüsnes,bisnis
degu,deegu
detektiived,detektiivid
digialiseeritud,digiteeritud
digiseadmet,digiseadet
digitaaliseerivas,digiteerivas
direektor,direktor
diseadmetesse,digiseadmetesse
diskusioon,diskussioon
diskusiooni,diskussiooni
dramma,draama
drammatiliselt,dramaatiliselt
e.-kiri,e-kiri
ebrot,eurot
eelkoolnikutele,eelkoolikutele
eelsitavad,eelistavad
ehitattakse,ehitatakse
ehutasin,ehmatasin
